Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,Date
1,20.6,24.6,16.9,,60,0,10,18,27.8,33.5,2015-6
2,20.5,25,17.7,,67,0,10,21.7,33.5,46.5,2015-6
3,20.7,23.3,18.5,,67,0,10,16.3,22.2,,2015-6
4,22.9,28.7,18.4,,53,0,10,16.9,22.2,,2015-6
5,20.7,25,18,,79,3.05,10,19.1,33.5,,2015-6
6,21.2,24.1,19,,75,3.3,10,21.7,31.7,44.6,2015-6
7,21.3,25.5,19,,69,0.51,10,22.2,33.5,48.2,2015-6
8,19.4,22,17,,80,3.05,9.8,14.8,22.2,,2015-6
9,20.4,24,17,,68,0,10,11.3,18.3,,2015-6
10,20.4,23,17.5,,73,0,10,11.5,20.6,,2015-6
11,21.3,25.3,18,,71,0,9.8,13.3,27.8,29.4,2015-6
12,22.6,28,19,,70,0,10,15.2,25.9,,2015-6
13,24.3,29.4,19,,52,0,10.9,15.6,27.8,40.7,2015-6
14,23.3,27.9,17.5,,58,0,9.5,10.6,20.6,,2015-6
15,24.8,29,20.5,,55,0,,8.1,13,,2015-6
16,24.6,31,21,,64,4.06,10,11.9,33.5,,2015-6
17,23.5,27,20,,71,0,10.6,12.2,20.6,29.4,2015-6
18,21.9,26.1,19.9,,77,1.52,9.8,19.1,40.7,,2015-6
19,20.4,23.2,17,,71,0,10,23.2,38.9,,2015-6
20,21.2,24.1,15.8,,61,0,10,9.4,16.5,,2015-6
21,23.7,29.6,17.2,,48,0,11.6,13.3,27.8,,2015-6
22,20.6,23.7,18,,65,0,10,25.6,31.7,50,2015-6
23,21.9,25.3,19,,64,0.51,10,18.9,25.9,,2015-6
24,21.9,26,18,,64,0,10,9.8,16.5,,2015-6
25,21.8,27.4,16.9,,64,0,10,12.2,25.9,,2015-6
26,22.4,26,19,,52,0,10,10.7,16.5,,2015-6
27,21.9,25,18,,62,0,10,19.8,37,48.2,2015-6
28,23.1,28.3,17.5,,54,0,10,16.5,25.9,,2015-6
29,22.6,27,19,,65,0,9.7,10.6,20.6,,2015-6
30,22.9,27.5,19.7,,63,0,10,10,18.3,,2015-6
